order,id,date,time,title,url,visitCount,typedCount,transition
20,125,12/29/2021,13:22:50,Gmail,https://accounts.google.com/signin/v2/challenge/pwd?hl=en&continue=https%3A%2F%2Fmail.google.com&service=mail&ec=GAlAFw&flowName=GlifWebSignIn&flowEntry=AddSession&cid=1&navigationDirection=forward&TL=AM3QAYaTEYAT1t2JIcZNK1USkdjIPUpRywgNW56D3DP4owpFAKcFqg8Z9XN6tFw9,1,0,link
21,124,12/29/2021,13:22:40,Gmail,https://accounts.google.com/signin/v2/identifier?hl=en&continue=https%3A%2F%2Fmail.google.com&service=mail&ec=GAlAFw&flowName=GlifWebSignIn&flowEntry=AddSession,1,0,link
22,123,12/29/2021,13:22:40,Gmail,https://accounts.google.com/AddSession?hl=en&continue=https://mail.google.com&service=mail&ec=GAlAFw,2,0,link
23,123,12/29/2021,13:22:40,Gmail,https://accounts.google.com/AddSession?hl=en&continue=https://mail.google.com&service=mail&ec=GAlAFw,2,0,link
24,121,12/29/2021,13:22:37,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox,5,1,link
25,121,12/29/2021,13:22:36,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox,5,1,typed
26,121,12/29/2021,13:22:30,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox,5,1,link
27,120,12/29/2021,13:22:29,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/,2,1,typed
28,121,12/29/2021,13:21:57,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox,5,1,link
29,122,12/29/2021,13:21:56,Security alert - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox/FMfcgzGmtFBWZVWTLKLGBVGCDwGcxpss,1,0,link
30,121,12/29/2021,13:21:54,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/#inbox,5,1,link
31,120,12/29/2021,13:21:53,Inbox - 180010008@iitdh.ac.in - IIT Dharwad Mail,https://mail.google.com/mail/u/1/,2,1,link
32,112,12/29/2021,13:21:47,Gmail,https://accounts.google.com/signin/v2/challenge/pwd?hl=en-GB&continue=https%3A%2F%2Fmail.google.com&service=mail&ec=GAlAFw&flowName=GlifWebSignIn&flowEntry=AddSession&cid=1&navigationDirection=forward&TL=AM3QAYaJEMS3e5CkM_MZWLCB1n_iEKeM00070P9NPhMFcmG_ONFUGuTE3qzGoRFs,1,0,link
33,111,12/29/2021,13:21:45,Gmail,https://accounts.google.com/signin/v2/identifier?hl=en-GB&continue=https%3A%2F%2Fmail.google.com&service=mail&ec=GAlAFw&flowName=GlifWebSignIn&flowEntry=AddSession,1,0,link
34,110,12/29/2021,13:21:45,Gmail,https://accounts.google.com/AddSession?hl=en-GB&continue=https://mail.google.com&service=mail&ec=GAlAFw,2,0,link
35,110,12/29/2021,13:21:44,Gmail,https://accounts.google.com/AddSession?hl=en-GB&continue=https://mail.google.com&service=mail&ec=GAlAFw,2,0,link
36,109,12/29/2021,13:21:36,Regarding Co-op registration - balshersingh10@gmail.com - Gmail,https://mail.google.com/mail/u/0/#inbox/FMfcgzGmtDxFLtsvnFnhGLhzhzJmWqkC,1,0,link
37,108,12/29/2021,13:21:34,Inbox (1) - balshersingh10@gmail.com - Gmail,https://mail.google.com/mail/u/0/#inbox,1,0,link
38,101,12/29/2021,13:21:18,gaming laptop - Google Search,"https://www.google.com/search?q=gaming%20laptop&oq=gaming+lap&aqs=chrome.0.0i67i433j69i57j0i512l2j0i433i457i512j0i512l2j69i65.3186j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvKssbD-hTyO4LMdQeK57eZX9-rgPA:1640764260064&rflfq=1&num=10&rldimm=1744211576540475069&lqi=Cg1nYW1pbmcgbGFwdG9wSJ2YzvHLtoCACFoTEAAQASINZ2FtaW5nIGxhcHRvcJIBDmNvbXB1dGVyX3N0b3JlqgEVEAEqESINZ2FtaW5nIGxhcHRvcCgA&ved=2ahUKEwjb_IWXw4j1AhWfxTgGHZTJADcQvS56BAhUED0&rlst=f#rlfi=hd:;si:1744211576540475069,l,Cg1nYW1pbmcgbGFwdG9wSJ2YzvHLtoCACFoTEAAQASINZ2FtaW5nIGxhcHRvcJIBDmNvbXB1dGVyX3N0b3JlqgEVEAEqESINZ2FtaW5nIGxhcHRvcCgA;mv:[[32.6309663,77.0065718],[31.261275699999995,75.3133265]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",1,0,link
39,100,12/29/2021,13:21:18,gaming laptop - Google Search,"https://www.google.com/search?q=gaming%20laptop&oq=gaming+lap&aqs=chrome.0.0i67i433j69i57j0i512l2j0i433i457i512j0i512l2j69i65.3186j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvKssbD-hTyO4LMdQeK57eZX9-rgPA:1640764260064&rflfq=1&num=10&rldimm=1744211576540475069&lqi=Cg1nYW1pbmcgbGFwdG9wSJ2YzvHLtoCACFoTEAAQASINZ2FtaW5nIGxhcHRvcJIBDmNvbXB1dGVyX3N0b3JlqgEVEAEqESINZ2FtaW5nIGxhcHRvcCgA&ved=2ahUKEwjb_IWXw4j1AhWfxTgGHZTJADcQvS56BAhUED0&rlst=f",2,0,link
40,100,12/29/2021,13:21:17,gaming laptop - Google Search,"https://www.google.com/search?q=gaming%20laptop&oq=gaming+lap&aqs=chrome.0.0i67i433j69i57j0i512l2j0i433i457i512j0i512l2j69i65.3186j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvKssbD-hTyO4LMdQeK57eZX9-rgPA:1640764260064&rflfq=1&num=10&rldimm=1744211576540475069&lqi=Cg1nYW1pbmcgbGFwdG9wSJ2YzvHLtoCACFoTEAAQASINZ2FtaW5nIGxhcHRvcJIBDmNvbXB1dGVyX3N0b3JlqgEVEAEqESINZ2FtaW5nIGxhcHRvcCgA&ved=2ahUKEwjb_IWXw4j1AhWfxTgGHZTJADcQvS56BAhUED0&rlst=f",2,0,link
41,99,12/29/2021,13:21:17,Laptops For Gaming - All series｜ASUS India,https://www.asus.com/in/Laptops/For-Gaming/All-series/,2,0,link
42,99,12/29/2021,13:21:15,Laptops For Gaming - All series｜ASUS India,https://www.asus.com/in/Laptops/For-Gaming/All-series/,2,0,link
43,97,12/29/2021,13:21:13,Gaming Laptops | Buy Gaming Laptops Online at Best Prices | Croma,https://www.croma.com/computers-tablets/laptops/gaming-laptops/c/806,2,0,link
44,98,12/29/2021,13:21:13,Gaming Laptop Deals | Dell India,https://www.dell.com/en-in/shop/deals/gaming-laptop-deals,1,0,link
45,97,12/29/2021,13:21:12,Gaming Laptops | Buy Gaming Laptops Online at Best Prices | Croma,https://www.croma.com/computers-tablets/laptops/gaming-laptops/c/806,2,0,link
46,96,12/29/2021,13:21:11,Gaming Laptops - Buy Gaming Laptops Online at Low Price,https://www.flipkart.com/gaming-laptops-store,1,0,link
47,95,12/29/2021,13:21:10,Gaming Laptop deals | Save up to 50% on Gaming Laptops | Lenovo India,https://www.lenovo.com/in/en/d/deals/gaming?sort=sortBy&resultsLayoutType=grid,1,0,link
48,94,12/29/2021,13:21:10,Gaming Laptop deals | Save up to 50% on Gaming Laptops | Lenovo India,https://www.lenovo.com/in/en/d/deals/gaming?sort=sortBy,1,0,link
49,93,12/29/2021,13:21:10,Gaming Laptops - Buy Laptops Online at Best Price in India | Vijay Sales,https://www.vijaysales.com/laptop-and-printer/laptops/buy-gaming-laptops-laptop-and-printer,1,0,link
50,92,12/29/2021,13:21:10,Gaming Laptop deals | Save up to 50% on Gaming Laptops | Lenovo India,https://www.lenovo.com/in/en/d/deals/gaming,2,0,link
51,92,12/29/2021,13:21:07,Gaming Laptop deals | Save up to 50% on Gaming Laptops | Lenovo India,https://www.lenovo.com/in/en/d/deals/gaming,2,0,link
52,91,12/29/2021,13:21:06,Amazon.in: Gaming Laptops,https://www.amazon.in/b?ie=UTF8&node=7198569031,1,0,link
53,90,12/29/2021,13:21:00,gaming laptop - Google Search,https://www.google.com/search?q=gaming+laptop&oq=gaming+lap&aqs=chrome.0.0i67i433j69i57j0i512l2j0i433i457i512j0i512l2j69i65.3186j0j7&sourceid=chrome&ie=UTF-8,2,0,link
54,90,12/29/2021,13:20:59,gaming laptop - Google Search,https://www.google.com/search?q=gaming+laptop&oq=gaming+lap&aqs=chrome.0.0i67i433j69i57j0i512l2j0i433i457i512j0i512l2j69i65.3186j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
55,89,12/29/2021,13:20:38,Sell Used Cars Online | H Promise India,https://hpromise.hyundai.co.in/used-car/sell,1,0,link
56,88,12/29/2021,13:20:37,"Sell Car, New Car for sale, Sell used cars,Cars for sale, Online sale of Used and new Cars, ZigWheels.com",https://www.zigwheels.com/sell-car,1,0,link
57,87,12/29/2021,13:20:36,"Sell Your Car, Sell My Car Online Free, How to Sell Car | Quicksell",https://droom.in/quicksell,1,0,link
58,86,12/29/2021,13:20:36,Sell Second Hand Maruti Suzuki Cars in India Online - Maruti Suzuki True Value,https://www.marutisuzukitruevalue.com/sell-cars,1,0,link
59,85,12/29/2021,13:20:35,Sell Your Car with SellRight by Spinny® | Free Doorstep Evaluation & Instant Payment,https://www.spinny.com/sell-used-car/,1,0,link
60,84,12/29/2021,13:20:33,Sell Your Used Car Instantly | Get Best Price Quotes for Selling Your Car in India,https://www.olx.in/olxautos/,1,0,link
61,83,12/29/2021,13:20:33,Sell Car Online for FREE | Get Best Prices on your car - CarTrade,https://www.cartrade.com/sell-used-car/,3,0,link
62,83,12/29/2021,13:20:33,Sell Car Online for FREE | Get Best Prices on your car - CarTrade,https://www.cartrade.com/sell-used-car/,3,0,link
63,83,12/29/2021,13:20:32,Sell Car Online for FREE | Get Best Prices on your car - CarTrade,https://www.cartrade.com/sell-used-car/,3,0,link
64,82,12/29/2021,13:20:32,Sell Car Online - Sell Used Car Online in India | CARS24,https://www.cars24.com/sell-car/,1,0,link
65,81,12/29/2021,13:20:31,Sell Car Online | Sell Used Cars for FREE at Best Prices - CarWale,https://www.carwale.com/used/sell/,3,0,link
66,81,12/29/2021,13:20:31,Sell Car Online | Sell Used Cars for FREE at Best Prices - CarWale,https://www.carwale.com/used/sell/,3,0,link
67,81,12/29/2021,13:20:30,Sell Car Online | Sell Used Cars for FREE at Best Prices - CarWale,https://www.carwale.com/used/sell/,3,0,link
68,78,12/29/2021,13:20:28,sell car online - Google Search,https://www.google.com/search?q=sell+car+online&oq=sell+car&aqs=chrome.1.69i57j0i433i512j0i512j0i457i512j0i512l6.3581j0j4&sourceid=chrome&ie=UTF-8,2,0,reload
69,80,12/29/2021,13:20:26,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,link
70,79,12/29/2021,13:20:26,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car,3,0,reload
71,80,12/29/2021,13:20:26,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,link
72,79,12/29/2021,13:20:25,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car,3,0,reload
73,80,12/29/2021,13:20:25,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,reload
74,80,12/29/2021,13:20:22,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,link
75,79,12/29/2021,13:20:22,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car,3,0,link
76,80,12/29/2021,13:20:20,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,link
77,79,12/29/2021,13:20:20,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car,3,0,link
78,80,12/29/2021,13:20:20,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car#city,5,0,link
79,79,12/29/2021,13:20:19,Sell Used Car Online & Get Instant Payment - 𝗖𝗮𝗿𝗗𝗲𝗸𝗵𝗼 𝗚𝗮𝗮𝗱𝗶 𝗦𝘁𝗼𝗿𝗲,https://www.cardekho.com/sell-used-car,3,0,link
80,78,12/29/2021,13:20:18,sell car online - Google Search,https://www.google.com/search?q=sell+car+online&oq=sell+car&aqs=chrome.1.69i57j0i433i512j0i512j0i457i512j0i512l6.3581j0j4&sourceid=chrome&ie=UTF-8,2,0,link
81,78,12/29/2021,13:20:17,sell car online - Google Search,https://www.google.com/search?q=sell+car+online&oq=sell+car&aqs=chrome.1.69i57j0i433i512j0i512j0i457i512j0i512l6.3581j0j4&sourceid=chrome&ie=UTF-8,2,0,generated
82,77,12/29/2021,13:19:54,buy refrigerator - Google Search,"https://www.google.com/search?q=buy%20refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvJhz9rEJRLgs_C-_ARWTQDwAprMzw:1640764175750&rflfq=1&num=10&rldimm=10357667653096551018&lqi=ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA&phdesc=X4QNNQXS1pU&ved=2ahUKEwj0_evuwoj1AhU-yDgGHWh9Du0QvS56BAhEEEk&rlst=f#rlfi=hd:;si:;mv:[[32.3107717,76.8630156],[30.635918500000002,75.500329]]",1,0,link
83,76,12/29/2021,13:19:52,buy refrigerator - Google Search,"https://www.google.com/search?q=buy%20refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvJhz9rEJRLgs_C-_ARWTQDwAprMzw:1640764175750&rflfq=1&num=10&rldimm=10357667653096551018&lqi=ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA&phdesc=X4QNNQXS1pU&ved=2ahUKEwj0_evuwoj1AhU-yDgGHWh9Du0QvS56BAhEEEk&rlst=f#rlfi=hd:;si:10357667653096551018,l,ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA,y,X4QNNQXS1pU;mv:[[32.3107717,76.8630156],[30.635918500000002,75.500329]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",2,0,link
84,76,12/29/2021,13:19:51,buy refrigerator - Google Search,"https://www.google.com/search?q=buy%20refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvJhz9rEJRLgs_C-_ARWTQDwAprMzw:1640764175750&rflfq=1&num=10&rldimm=10357667653096551018&lqi=ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA&phdesc=X4QNNQXS1pU&ved=2ahUKEwj0_evuwoj1AhU-yDgGHWh9Du0QvS56BAhEEEk&rlst=f#rlfi=hd:;si:10357667653096551018,l,ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA,y,X4QNNQXS1pU;mv:[[32.3107717,76.8630156],[30.635918500000002,75.500329]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",2,0,link
85,75,12/29/2021,13:19:51,buy refrigerator - Google Search,"https://www.google.com/search?q=buy%20refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvJhz9rEJRLgs_C-_ARWTQDwAprMzw:1640764175750&rflfq=1&num=10&rldimm=10357667653096551018&lqi=ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA&phdesc=X4QNNQXS1pU&ved=2ahUKEwj0_evuwoj1AhU-yDgGHWh9Du0QvS56BAhEEEk&rlst=f",2,0,link
86,75,12/29/2021,13:19:50,buy refrigerator - Google Search,"https://www.google.com/search?q=buy%20refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=AOaemvJhz9rEJRLgs_C-_ARWTQDwAprMzw:1640764175750&rflfq=1&num=10&rldimm=10357667653096551018&lqi=ChBidXkgcmVmcmlnZXJhdG9ySNfbvKLxqoCACFoYEAAQARgAIhBidXkgcmVmcmlnZXJhdG9ykgERZWxlY3Ryb25pY3Nfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjVjM0F0VDB4QkVBRaoBGBABKhQiEGJ1eSByZWZyaWdlcmF0b3IoAA&phdesc=X4QNNQXS1pU&ved=2ahUKEwj0_evuwoj1AhU-yDgGHWh9Du0QvS56BAhEEEk&rlst=f",2,0,link
87,74,12/29/2021,13:19:47,The 7 Best Places to Buy a Refrigerator in 2021,https://www.thespruce.com/best-places-to-buy-refrigerators-4769476,1,0,link
88,73,12/29/2021,13:19:44,Refrigerators: Buy Fridge Online at Best Price in India,https://www.lg.com/in/refrigerators,1,0,link
89,72,12/29/2021,13:19:43,,https://www.amazon.in/Refrigerators/b?ie=UTF8&node=1380365031,1,0,link
90,71,12/29/2021,13:19:43,"Buy Refrigerator, Fridge & Freezer Online at Best Prices | Croma",https://www.croma.com/home-appliances/refrigerators-freezers/c/47,2,0,link
91,71,12/29/2021,13:19:41,"Buy Refrigerator, Fridge & Freezer Online at Best Prices | Croma",https://www.croma.com/home-appliances/refrigerators-freezers/c/47,2,0,link
92,70,12/29/2021,13:19:41,"Refrigerators: Buy Single, Double & Multi Door Fridges Online | Up to 50% Off | Flipkart.com","https://www.flipkart.com/refrigerators/pr?sid=j9e,abm,hzg",1,0,link
93,69,12/29/2021,13:19:39,"Refrigerators - Buy Single, Double & Multi Door Fridges Online at Reliance Digital",https://www.reliancedigital.in/refrigerators/c/S101513,1,0,link
94,68,12/29/2021,13:19:38,Refrigerators - Buy Fridge Online at Best Price In India | Vijay Sales,https://www.vijaysales.com/home-appliances/appliances/buy-refrigerators-home-appliances,1,0,link
95,67,12/29/2021,13:19:36,buy refrigerator - Google Search,https://www.google.com/search?q=buy+refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8,2,0,link
96,67,12/29/2021,13:19:35,buy refrigerator - Google Search,https://www.google.com/search?q=buy+refrigerator&oq=buy+refrig&aqs=chrome.2.69i57j35i39j0i512l2j0i457i512j0i512l5.4251j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
